n_features,n_samples,corr_Ytrue_Ynoisy1,corr_Ytrue_Ynoisy2,corr_Ynoisy1_Ynoisy2,corr_Yavg12_Ytrue,var_Ynoisy1,var_Ynoisy2,corr_pred_Ytrue,corr_pred_Ynoisy1,corr_pred_Ynoisy2,corr_pred_YnoisyLow,corr_pred_YnoisyHigh,var_Ypred,cov_Ynoisy1_Ynoisy2,cov_pred_Ynoisy1
462,92400,0.6486702097676565,0.9992924627551507,0.6482882949198734,0.8616486403383561,0.2685901928792046,0.1116382424287345,0.7676893735091089,0.5041995700181724,0.7668177054143535,0.7045687418275468,0.3991527519418931,0.10631424,0.11226015212377943,0.0857917684168871
240,48000,0.9077643691212463,0.8855100666686567,0.8045942293115045,0.943757743035384,0.23298367599695854,0.24662886957911032,0.8857888559797267,0.805412538995228,0.786794881935987,0.7304115416573616,0.5197356740008355,0.17489566,0.19287366191350758,0.16439141745560967
195,39000,0.6079663348564555,0.7301429330236175,0.44465038175967064,0.7789890352716538,0.4355376213631507,0.29689756343108004,0.7600953815155009,0.45814083480072887,0.5501365501341767,0.754817137653726,0.4666566930096247,0.15275712,0.15990010305223504,0.11778156461591288
218,43600,0.5171963298192938,0.8503137147478878,0.438329149817721,0.7509984679458623,0.654606086168882,0.24690159513636295,0.719232672705346,0.3756743192287335,0.616454666611303,0.604603200157891,0.40588895504352224,0.17513715,0.17622388512048004,0.12839518288127427
457,91400,0.7701883039458519,0.9305283590006194,0.7174728475544632,0.9088224030380626,0.1906188323150454,0.13060550606168014,0.7858564155217941,0.6054938879530888,0.7320869154905502,0.737683494351779,0.5093570061794775,0.121421404,0.113207462277811,0.09267808020861715
89,17800,0.5045846057157823,0.8207419320366801,0.4108881325870604,0.7350340011069162,0.39329216839059267,0.14778557291380925,0.7331447222311261,0.36643971258745556,0.5842412959269022,0.638462244009889,0.40205465842160315,0.12000759,0.09906671591206274,0.07826637855141386
87,17400,0.5860056976867446,0.4912084872443781,0.296000048695482,0.6640223183300785,0.6749282141021186,0.8961122990476018,0.8197309932792046,0.49042133260440485,0.45432079382735363,0.8131013807286547,0.476323519914499,0.31081843,0.23021466939519974,0.22623092169897313
421,84200,0.9260000439167039,0.8021993945531092,0.741723440633648,0.9209930272159335,0.1433694966723271,0.18961189098071748,0.8759015950578823,0.8144241312749021,0.7151896190557456,0.8555421640673329,0.6117909932220994,0.12640959,0.1222952577249698,0.11235291101749337
22,4400,0.5926647863524606,0.7716948386641902,0.45003081079219254,0.786507692136841,0.3828219956105104,0.23699603689638665,0.8693689082370668,0.5535688965920192,0.6884168425221163,0.7927644213190509,0.4595137682427854,0.24948816,0.13559217529381065,0.1774139758436757
127,25400,0.9210512169327149,0.5458397977305133,0.5004227289305806,0.7851835322457411,0.1553705377056004,0.4272182995080644,0.8643087604772618,0.7933244487842109,0.4574294612616568,0.8568629418951361,0.3899084267236755,0.1105765,0.12893405991104215,0.10241337890809481
459,91800,0.7183905919388738,0.4996843240418577,0.3585194630079289,0.7103579715000736,0.256643003418313,0.5236756081471114,0.8029079204132699,0.5844781642634047,0.412525229941963,0.7273074129833065,0.4663936809874755,0.115669705,0.1314360619130596,0.10096918181987202
190,38000,0.7029418241925454,0.6200498217044821,0.4321479524850999,0.7773897918318732,0.3764144700893453,0.5022881642442995,0.8000476702344003,0.568885498827337,0.5085659120924044,0.7364903534451517,0.4646118873101599,0.18984307,0.18791280412024536,0.15563194878541986
89,17800,0.9593333675229125,0.47383908904534544,0.45431517675967836,0.7291890707643057,0.27773319965284976,1.1272885094422043,0.9315506306117173,0.8968100207689826,0.46500701478881873,0.8613157405661229,0.6203492469757168,0.23898289,0.2542255427313284,0.2397326712406135
197,39400,0.5287856394657146,0.49512778174356925,0.2650099952854119,0.6426599879097866,0.5891362705510322,0.6853306165534955,0.7714401542154355,0.400223828947991,0.3776102359243907,0.5538074108449867,0.42232308005599883,0.19561128,0.1683968566460406,0.13582143741181654
